food_category,plate_coverage_ratio,leftover_area_px,total_plate_area_px,color_variance,texture_score,brightness_mean,estimated_weight_grams,waste_percentage,waste_level
mixed,0.62026,17335.67,48295.01,303.3122,292.7443,127.64,716.41,37.68,medium
vegetables,0.62253,13354.77,46515.37,346.6916,303.6577,111.87,552.12,31.57,medium
salad,0.98971,1896.12,43652.67,603.7861,529.5958,129.45,69.04,4.13,low
dessert,0.8385,10989.53,44981.47,205.8444,123.8428,130.51,592.34,21.38,medium
mixed,0.45722,27585.41,42768.91,244.1506,258.7818,141.33,1274.17,58.31,high
dessert,0.81532,7384.09,47170.38,166.2538,127.4504,125.34,404.55,13.69,low
vegetables,0.8105,8882.5,45599.37,430.4788,390.0769,145.6,377.76,21.01,medium
vegetables,1.0,50.51,40712.15,478.0661,446.0623,103.28,1.98,0.11,low
dessert,0.30817,36036.28,45907.14,106.5614,109.5233,137.49,1838.5,75.78,severe
dal,0.79737,6330.15,43366.67,107.1468,72.308,115.11,303.89,13.27,low
dessert,0.46551,22181.65,42375.78,157.1902,116.0241,149.32,1210.53,59.58,high
curry,0.9342,4503.19,40610.65,353.0261,341.5945,133.92,236.36,10.08,low
bread,0.45772,26846.83,44038.25,85.8055,78.9698,136.13,735.74,54.74,high
dal,0.92534,3015.11,44056.68,144.0576,83.5517,117.83,155.17,6.54,low
rice,0.5074,22983.45,42256.59,122.8774,122.1224,130.41,1035.12,56.17,high
dal,0.73087,9626.99,36993.82,103.4132,83.3137,119.62,432.09,24.2,medium
dessert,0.49408,26549.51,48850.63,166.5575,101.6203,130.14,1599.12,51.96,high
mixed,0.95415,1543.82,43546.96,382.533,346.3206,157.78,72.4,3.31,low
dessert,0.89717,278.18,40403.18,184.6299,138.0205,98.05,15.49,0.74,low
curry,0.96445,3274.22,39718.04,396.5775,321.9655,100.07,176.63,7.83,low
bread,0.8836,8514.21,44436.05,76.5996,139.5263,151.33,259.81,19.3,medium
bread,0.46965,18486.43,40766.88,68.6844,85.2201,120.85,534.67,46.42,high
curry,0.85106,9160.78,54126.53,339.0481,293.5136,112.28,421.38,16.38,medium
dessert,0.97331,4022.85,40218.56,253.261,155.5509,132.27,201.09,9.29,low
rice,0.79699,10767.35,42693.41,102.9905,133.1838,106.3,483.92,23.1,medium
vegetables,0.75195,9871.68,41829.9,416.0781,406.622,144.12,401.92,24.94,medium
mixed,0.75123,13989.23,49179.49,305.1525,309.3767,101.58,623.35,25.22,medium
mixed,0.65389,12634.76,42098.43,322.125,323.2648,119.69,593.94,31.47,medium
dal,0.79389,8158.98,43211.37,69.6707,90.8749,133.88,404.86,20.36,medium
mixed,0.15107,32368.65,46492.21,167.3071,195.17,142.43,1318.66,81.77,severe
rice,0.38415,20628.32,36943.59,85.8345,79.5699,131.97,904.71,65.56,high
dessert,0.86945,1057.4,43421.71,226.5549,105.4328,112.69,54.52,2.41,low
dal,0.66118,13473.98,36662.39,75.0048,20.0564,111.83,637.05,36.95,medium
mixed,0.78664,8099.86,48218.28,374.397,358.3856,121.22,365.98,17.96,medium
vegetables,0.64943,13032.33,41957.96,328.7457,349.4046,141.52,523.61,32.25,medium
mixed,0.91799,1202.05,37488.04,403.7897,362.7371,149.53,49.56,2.83,low
curry,0.59225,15902.99,44144.78,294.9607,229.7615,112.67,868.1,36.79,medium
salad,0.49683,24718.09,44563.42,366.4335,355.9418,158.76,805.57,49.05,high
rice,0.60837,16159.14,43358.64,122.6607,98.3397,140.76,681.98,37.89,medium
dal,0.31969,40005.54,49982.54,78.1066,57.2787,109.53,1776.99,72.83,severe
vegetables,0.45086,29413.31,45709.05,334.9257,227.9166,126.22,1149.79,56.37,high
vegetables,0.84438,6896.85,40653.73,413.4044,432.8624,114.97,256.98,17.24,medium
vegetables,0.84451,7847.03,47410.61,394.9992,427.005,118.25,292.14,14.64,low
mixed,0.9473,4073.5,46023.63,418.0745,353.4485,154.5,196.66,8.53,low
rice,0.30709,32831.01,41591.36,96.9169,97.4117,130.6,1489.36,80.44,severe
bread,0.94324,3721.99,41354.23,102.961,144.8018,117.07,104.69,9.8,low
curry,0.92118,3364.71,45947.79,295.6164,287.7133,138.39,165.6,7.46,low
mixed,0.80751,10523.35,44423.89,404.0138,320.7462,114.95,431.91,20.7,medium
rice,0.4789,26878.73,43419.02,145.5911,119.2833,157.2,1248.86,59.45,high
dessert,0.23815,38064.79,46838.82,78.5633,46.6102,113.83,2196.23,81.13,severe
salad,0.85719,1497.37,44946.34,538.8067,516.9371,101.0,48.79,2.98,low
vegetables,0.93709,3835.21,45458.34,439.6312,448.6877,100.66,142.59,7.94,low
curry,0.92262,2204.81,44909.26,361.0416,290.8973,126.39,115.71,4.62,low
rice,0.71112,13628.46,42501.59,103.7073,155.3086,94.17,644.16,35.51,medium
dessert,0.98649,1743.04,45271.65,173.0362,115.002,123.42,104.11,4.09,low
vegetables,0.49572,16357.82,39927.94,313.9218,290.2277,146.27,599.5,36.68,medium
bread,0.95619,3467.33,47469.13,111.9083,107.7604,151.01,98.3,7.16,low
curry,0.28851,33680.07,51065.47,210.9359,171.3725,154.69,1831.79,69.84,high
dessert,0.93623,3583.32,47204.77,197.3252,131.9881,115.79,210.25,8.36,low
rice,0.96639,1426.96,48236.49,135.4732,159.6353,103.47,60.81,2.63,low
salad,0.89181,6470.58,45648.24,557.3514,482.7341,127.29,220.96,14.47,low
salad,0.88864,27.33,49115.12,585.1985,482.9652,130.48,0.88,0.06,low
dessert,0.71037,10900.69,35622.63,170.1672,93.3081,104.64,616.6,33.68,medium
salad,0.18838,35210.91,46283.4,248.661,239.8333,153.22,1224.55,82.36,severe
salad,0.9976,1526.89,50432.48,593.5969,516.4832,124.37,51.03,2.78,low
rice,1.0,7365.87,47128.52,143.1003,164.7962,128.66,340.7,14.16,low
vegetables,0.59332,23420.33,45769.68,389.6244,335.4979,144.3,900.43,46.33,high
rice,0.61574,21614.35,46132.27,124.7619,134.0542,124.63,1020.26,43.85,high
dal,0.40761,24847.8,43156.55,64.8694,52.0735,149.39,1167.67,62.48,high
dessert,0.2067,36743.98,47145.19,66.8257,78.4396,109.47,2110.58,77.4,severe
dessert,0.0,40090.85,40599.46,104.7847,36.0758,143.36,2370.61,99.53,severe
rice,0.49192,18691.91,38607.79,83.5874,86.7295,144.99,867.8,51.48,high
vegetables,0.54139,16187.7,38997.32,363.9567,299.6282,138.78,694.79,40.73,high
dessert,0.53509,18377.49,42860.75,141.966,78.5275,135.45,1067.22,38.63,medium
rice,0.90899,1685.64,45814.53,130.3446,122.5714,125.37,75.49,3.46,low
rice,0.77057,8484.83,44344.19,130.3759,150.2048,109.4,412.58,20.04,medium
bread,0.13343,33258.91,47425.16,3.0638,43.7548,166.18,912.77,79.96,severe
rice,0.4278,28982.64,45293.1,82.7316,107.049,109.81,1290.5,57.41,high
curry,0.88886,2880.67,44241.78,351.3889,335.098,129.82,139.14,7.01,low
mixed,0.55209,17916.3,46255.28,275.2222,250.6434,119.11,817.33,42.33,high
salad,1.0,4469.86,51839.78,601.7605,501.476,108.34,162.16,8.31,low
dal,0.78985,9944.63,40133.13,160.5286,68.3632,125.28,474.72,25.23,medium
rice,0.62773,14205.08,46187.66,73.4599,164.5747,139.58,641.23,30.49,medium
salad,0.20741,41649.85,49851.53,290.5014,267.9026,110.98,1312.14,84.81,severe
bread,0.6414,13138.08,37591.35,64.7825,91.457,120.53,404.13,34.23,medium
curry,0.65089,12879.11,45369.42,299.2172,253.9896,141.39,708.2,25.31,medium
vegetables,0.96547,1983.17,44971.53,485.5608,458.2953,127.95,81.53,4.3,low
salad,0.19486,34076.48,47578.23,299.4571,274.3772,122.96,1289.55,76.12,severe
dessert,0.53999,19839.96,40530.69,158.1978,108.3909,125.32,1145.58,48.07,high
dessert,0.90605,910.95,48515.82,159.9639,141.2586,105.1,45.3,1.91,low
vegetables,0.95848,1060.18,45925.13,478.5927,423.7062,118.3,45.37,2.66,low
rice,0.80945,11584.2,40661.56,125.098,160.2791,120.68,563.4,26.12,medium
curry,0.7844,9705.14,48487.74,304.0848,261.2785,96.89,465.87,18.75,medium
mixed,0.865,10498.39,47899.42,384.7366,301.0925,126.7,482.86,20.61,medium
bread,0.40807,30111.25,47171.43,26.0611,38.6058,127.84,853.4,64.32,high
dal,0.7781,7194.03,40697.06,104.5407,74.0858,133.72,376.52,19.42,medium
bread,0.90732,5632.21,43120.65,97.1847,137.696,78.1,172.81,11.45,low
mixed,0.63373,11178.02,43730.85,343.1171,245.0025,144.26,504.0,29.3,medium
dal,0.89789,5371.47,40931.1,54.8734,75.8017,109.09,269.9,14.54,low
rice,0.45268,21456.85,40352.26,53.8754,116.2177,112.53,1059.66,51.35,high
curry,0.94128,485.2,41991.36,424.7581,318.2108,124.85,23.46,1.33,low
rice,0.57918,18334.34,48632.25,82.4751,132.7883,118.81,765.91,36.07,medium
dessert,0.90879,4317.83,46940.38,200.5569,156.8098,118.29,227.01,10.31,low
bread,0.66191,9996.73,48079.43,109.0918,114.3454,129.32,318.51,24.34,medium
rice,0.7029,11882.67,41856.09,89.0802,128.2219,105.54,564.97,28.26,medium
dessert,0.92939,4443.89,45351.47,212.1207,132.323,154.62,222.04,9.02,low
mixed,0.64301,15122.47,46007.42,317.6889,263.5347,144.97,656.54,28.67,medium
rice,0.23705,35215.38,44959.22,65.6322,75.2397,143.99,1721.01,84.25,severe
bread,0.60373,19807.87,45519.72,29.4283,110.6384,88.9,581.15,39.28,medium
vegetables,0.22421,34843.13,47637.94,250.1679,208.0117,150.46,1442.45,75.59,severe
dal,1.0,2512.89,47640.15,70.5213,70.1133,129.91,113.72,5.33,low
rice,1.0,216.07,40101.18,144.1613,191.6622,112.61,9.93,0.58,low
mixed,0.47204,21643.7,39211.98,281.664,236.8301,127.97,996.0,61.41,high
vegetables,0.15028,31355.24,43631.39,201.5512,196.2145,117.7,1223.76,77.94,severe
rice,0.78561,8322.23,41339.5,86.8631,157.4423,139.62,406.6,23.48,medium
rice,0.78111,11823.76,46871.28,118.5967,170.1085,125.8,564.67,22.86,medium
dal,0.93779,5690.81,37767.42,57.783,71.9909,132.82,287.92,13.94,low
salad,0.64635,14834.84,41807.39,470.9503,419.4487,130.05,508.08,36.42,medium
dessert,0.6409,16429.31,45430.14,185.0139,114.9745,115.05,859.76,36.99,medium
vegetables,0.96832,2485.02,42904.91,472.314,487.2544,114.96,108.7,5.28,low
dal,0.59968,22302.8,45995.74,108.4558,64.0817,123.02,988.14,44.26,high
vegetables,0.62917,14985.5,41229.28,364.5197,337.482,138.39,553.71,41.77,high
dal,0.04821,47113.67,47403.84,55.3117,18.0153,131.21,2082.42,96.84,severe
salad,0.66212,15334.61,47533.69,535.1629,372.5563,115.68,516.82,36.81,medium
mixed,0.67606,12902.04,43801.39,330.5885,303.6349,134.09,527.03,26.31,medium
rice,0.85156,3967.13,37550.06,122.074,159.7514,115.94,173.82,9.83,low
salad,0.72583,8573.25,41275.71,494.6554,391.9127,122.78,307.68,22.42,medium
vegetables,0.92445,3640.34,44292.56,482.8467,421.4493,114.67,154.17,8.01,low
bread,0.98461,3061.2,48161.57,133.5349,116.287,120.52,96.46,6.44,low
rice,0.30077,32271.07,45370.72,52.2185,74.0997,137.5,1468.52,66.08,high
dal,0.8952,5393.7,46109.16,65.4915,115.3687,108.24,237.85,12.91,low
bread,0.60153,21393.77,43780.11,31.25,117.9896,135.35,582.71,45.99,high
mixed,0.64533,20982.74,44781.18,318.5797,299.8357,91.37,932.16,41.3,high
rice,0.76976,14607.6,49338.35,94.6588,155.1351,121.68,637.9,25.78,medium
vegetables,0.8815,1301.04,44142.9,452.49,392.6418,131.84,47.67,2.62,low
vegetables,0.20999,40051.18,52544.76,258.0765,213.2627,152.37,1486.25,76.27,severe
vegetables,0.79143,15722.59,47789.95,373.7495,396.3625,141.29,657.57,32.24,medium
mixed,0.54258,20354.18,55290.07,284.2695,250.8407,115.8,867.34,41.99,high
vegetables,0.84021,11041.27,43027.11,461.1423,407.2908,135.59,402.06,25.66,medium
vegetables,0.38602,27178.42,46465.33,339.3865,260.3985,138.57,1049.5,59.96,high
bread,0.98821,1483.5,35466.45,126.0409,137.3281,135.23,47.6,3.76,low
rice,1.0,63.75,43033.84,155.8631,200.99,132.66,2.92,0.13,low
curry,0.53283,25777.16,44245.66,264.1255,213.3862,151.87,1303.1,50.78,high
dal,0.31482,26488.03,45790.23,60.7893,55.3689,151.84,1381.26,62.59,high
dal,0.33164,30064.71,43590.94,95.2173,72.2863,127.55,1318.24,69.24,high
dessert,1.0,1481.57,44540.89,164.0188,160.0889,109.51,83.63,2.97,low
mixed,0.2749,29567.31,48161.36,234.0722,181.4427,110.37,1374.26,64.85,high
bread,0.21771,33838.93,47823.88,20.8757,41.3967,129.02,995.73,69.93,high
bread,0.75271,13348.47,43215.72,57.7238,95.4253,100.23,382.29,29.63,medium
dessert,0.47507,22905.08,41395.86,110.2265,119.7062,150.85,1282.8,60.37,high
dal,0.84,2403.26,35691.6,132.5475,71.6856,124.71,108.27,6.69,low
curry,0.07234,42365.95,52288.22,123.3516,127.9651,134.91,2246.54,85.15,severe
vegetables,0.92252,3244.32,41067.59,451.9636,428.1588,130.12,131.13,9.13,low
salad,0.42752,27134.94,43495.58,391.484,313.9288,125.4,1033.37,54.96,high
curry,0.19007,38057.07,45358.37,133.3592,113.484,117.31,2030.97,85.97,severe
vegetables,0.89568,3513.84,41903.66,463.1671,419.0273,115.17,130.74,8.23,low
curry,0.03108,41369.53,41369.53,143.3729,132.0799,135.18,2257.99,97.07,severe
mixed,0.4811,22936.79,44598.81,295.9068,272.8296,130.34,1129.16,51.32,high
dal,1.0,2011.16,41952.03,101.9479,46.1491,111.78,100.26,4.79,low
mixed,0.99133,3439.55,46937.81,455.6144,380.008,133.75,151.56,6.96,low
rice,1.0,587.75,45864.82,120.3371,180.2197,141.54,26.69,1.5,low
curry,0.25229,25346.97,44144.81,212.6542,164.1027,129.38,1225.36,65.77,high
dal,0.94457,3568.02,47168.78,96.7457,107.587,108.13,157.18,6.77,low
vegetables,0.0,45344.61,46630.91,158.861,140.2577,135.32,1855.21,98.52,severe
bread,0.89468,4191.16,38283.56,31.5551,133.302,116.41,125.59,9.99,low
vegetables,0.35538,34182.2,46435.83,315.782,279.2862,118.77,1346.09,64.69,high
curry,0.878,9662.86,46877.44,395.1151,306.8181,121.34,485.17,23.57,medium
curry,0.74813,10878.81,50489.37,322.3386,281.3837,131.94,521.21,20.23,medium
bread,0.41239,31585.89,46237.65,108.7096,91.5112,142.45,993.93,61.88,high
rice,0.23359,28046.23,37344.88,101.3057,86.2737,138.4,1197.96,81.83,severe
bread,0.6899,15888.0,44214.01,29.6934,123.5658,117.16,466.98,35.15,medium
bread,0.68619,14398.66,48721.51,54.0577,93.0955,149.34,402.02,27.52,medium
bread,0.85198,11731.39,50412.29,80.0581,123.4815,108.17,343.59,22.13,medium
rice,0.09792,39507.51,47750.74,48.4636,85.0358,129.26,1789.48,96.25,severe
mixed,0.71928,16248.67,41172.65,382.4069,294.5469,129.98,800.21,35.31,medium
rice,0.93773,1050.3,50146.36,114.7482,177.8914,106.99,47.38,2.09,low
curry,0.47605,22922.12,42199.66,243.208,217.1061,124.49,1236.17,50.66,high
mixed,0.89352,4174.1,50743.91,384.1965,355.6909,145.62,190.66,8.33,low
rice,0.86226,6059.83,49931.45,105.3504,133.7603,124.87,272.53,12.67,low
mixed,0.8398,4827.72,39882.01,366.0001,362.9319,137.52,224.81,10.86,low
rice,0.72966,12294.68,41552.07,131.5542,171.2825,128.57,572.66,31.32,medium
rice,0.24893,28831.89,44546.58,65.5348,67.0679,132.9,1301.08,74.85,severe
dessert,0.92542,1038.29,49157.48,246.0605,107.8493,124.19,59.24,2.03,low
salad,0.12115,45783.15,52365.02,215.9133,251.9523,130.64,1643.04,81.56,severe
dal,0.80304,14061.47,44059.4,69.8894,91.1339,111.47,640.5,31.99,medium
salad,0.53652,21823.55,43120.54,388.3075,370.6115,123.37,772.79,45.51,high
vegetables,0.94243,3370.01,40209.65,480.331,450.1682,110.73,147.76,8.95,low
mixed,0.70393,7933.8,42223.83,357.7444,316.3815,140.44,370.15,20.5,medium
salad,0.81928,11682.54,43289.74,516.1171,471.058,108.45,388.06,31.25,medium
dessert,0.79659,9327.59,46539.07,193.0768,118.1246,117.33,494.63,20.81,medium
curry,0.37316,31451.94,42934.81,212.699,203.3007,128.67,1515.27,68.19,high
dal,0.76994,9910.25,48497.11,91.6134,110.7191,95.87,430.05,18.1,medium
rice,0.96401,732.34,42462.68,118.4156,175.8248,112.69,30.28,1.78,low
vegetables,0.93269,3617.74,38837.06,432.6795,429.9893,119.6,158.64,8.23,low
dal,0.65167,19002.01,54975.71,104.8791,49.1862,134.37,890.93,30.26,medium
bread,0.84205,7726.39,45301.6,95.0327,135.4204,113.19,241.27,14.96,low
mixed,0.96879,3453.28,48144.8,447.0345,394.5672,124.28,161.89,8.0,low
dessert,0.93135,1082.64,43641.58,230.5248,127.4673,167.27,61.89,2.42,low
mixed,0.80132,10837.62,51117.25,318.281,311.7798,107.87,462.78,20.19,medium
salad,0.19169,30722.95,42851.22,284.3159,259.9678,147.45,1173.74,76.67,severe
rice,0.56101,23588.56,47046.05,87.1798,110.97,135.1,957.84,44.61,high
vegetables,0.0003,40875.1,42351.02,162.0619,132.8344,152.12,1564.2,93.92,severe
curry,0.78373,7455.57,42851.61,362.3334,282.8204,106.34,384.25,19.58,medium
salad,0.35534,21020.33,36059.86,381.5333,335.9875,117.6,671.07,66.25,high
salad,0.77769,8318.46,39908.19,533.541,463.2068,128.6,289.57,19.01,medium
dessert,0.90593,7508.26,49712.74,142.4016,105.254,143.21,435.62,14.69,low
salad,0.82353,8342.59,50060.64,526.1114,467.7805,147.53,279.06,17.77,medium
mixed,0.2578,37472.2,48019.45,158.9808,169.0886,142.81,1565.27,72.75,severe
salad,0.86968,5595.99,39923.64,529.4637,479.9532,98.61,214.87,12.9,low
curry,0.84609,7160.0,49112.21,335.3823,298.522,127.85,375.87,15.12,medium
salad,0.1312,34491.32,44499.82,250.2371,251.8249,134.44,1275.48,83.83,severe
dal,0.77496,12988.38,45842.14,123.8404,89.3124,148.91,671.17,30.43,medium
dal,0.67799,11728.13,41934.15,102.9454,63.997,145.18,598.5,26.15,medium
dal,0.22927,29945.14,43149.91,44.2892,58.549,170.81,1483.17,67.2,high
salad,0.34338,30326.0,48948.99,363.7811,302.7552,102.46,1160.03,62.83,high
curry,0.98813,631.03,44318.36,352.9566,310.5691,124.33,32.44,1.25,low
